idx	gold	pred	gold_verdict	lever	corpus_honest_risk	confidence	fix
26	geography.location.country	geography.location.region	model_wrong	header_corroboration	med	med	Value is constant 'Cyprus' (49 rows), a sovereign country name; model emits region@0.97. Header 'country_name_filter' says country. Add header-corroborated closed-set: when header contains 'country' (not 'country_code') AND >=90% of values exact-match the locale_data::countries() country-name list, 
27	geography.location.country	geography.location.region	model_wrong	header_corroboration	med	high	Value constant 'Malta' (31 rows), a country name; header 'toCountry'. Same closed-set country-name + header-corroboration fix as idx 26. NOTE: the live release binary already emits geography.location.country for this column (matches gold) on the current parquet sample — the snapshot composed=region 
28	geography.location.country_code	technology.code.locale_code	model_wrong	header_corroboration	med	med	Values 'ar','us' (lowercase 2-letter, only 6 rows). 'us' is not an ISO-639 language code; both uppercased are valid ISO-3166 alpha-2. Model emits locale_code@0.58 (2-letter language/country ambiguity). Header 'venue_country' says country. Add header-corroborated closed-set: header contains 'country'
29	geography.location.country_code	unknown	model_wrong	veto_misfire_fix	low	high	Values are uppercase ISO-3166 alpha-2 (GN,GW,YE,TR,TM,MV,YT,MT — all valid). raw_sense=country_code but snapshot composed=unknown: a veto demoted the correct prediction (header 'id' is generic, likely a header-mismatch/validation veto). NOTE: live release binary now emits geography.location.country_
30	geography.location.region	geography.location.state	model_wrong	sharpen_rule	low	high	Stale-label canonicalisation. Values are Zimbabwe admin-1 provinces (Mat North/Mash Central/Manicaland) = region. composed='geography.location.state' is a RETIRED label absent from the 244-dim model AND the 245-taxonomy (taxonomy merged state into geography.location.region, title 'Region / State', a
31	geography.location.region	geography.location.state_code	values_missing	model_blind	na	med	No values on disk (values column empty). Header 'iso_region' usually holds ISO 3166-2 strings (e.g. 'US-CA') which sit ambiguously between region and state_code; composed=state_code is defensible without seeing values. Cannot build a value rule blind. Re-pull source values before adjudicating; if co
32	geography.location.region	representation.text.entity_name	model_wrong	data_lever	na	high	Values are Ecuador provinces (Azuay/Bolivar/Cañar/Cotopaxi/Chimborazo/Esmeraldas) = region. But these are bare proper-noun place names value-indistinguishable from city/entity_name without a gazetteer, and the header is the generic 'name' (no corroboration signal). No deterministic value rule separa
33	geography.location.region	representation.text.entity_name	model_wrong	header_corroboration	med	med	Values are US county names (ST. JOSEPH/MCDONALD/NEWTON/SAGINAW/ELKHART, plus a literal 'County') = admin subdivision -> region (region aliases include subdivision). Header literally 'County' and ydf agrees region. Existing geography header path (mod.rs:1191 PERSON_NAME_HINTS / mod.rs:1229 LOCATION_T
34	geography.location.region	technology.internet.http_method	values_missing	model_blind	na	med	No values on disk. composed=http_method is a degenerate emission on an empty/near-empty sample (header 'county', raw_sense blank). The header-corroboration rule proposed at idx 33 (county -> region) would fix this IF values existed, but with no values nothing deterministic can fire. Re-pull source v
35	geography.location.region	technology.internet.http_method	values_missing	model_blind	na	med	No values on disk. author-adjudicated gold (HIGH trust) = region for header 'borough'; composed=http_method is a degenerate empty-sample emission. The idx 33 county/borough->region header-corroboration would recover it once values are present. Re-pull source values.
36	geography.location.state_code	geography.location.state	values_missing	model_blind	na	med	No values on disk. gold wants the CODE type (state_code, e.g. 'CA') vs composed the NAME type (retired 'geography.location.state'). The name-vs-code distinction is purely value-determined (2-letter uppercase tokens => state_code; full names => region) and cannot be decided blind. Separately, compose
37	identity.commerce.isbn	identity.medical.npi	model_wrong	sharpen_rule	low	high	Header 'Primary ISBN10'; ALL sampled values pass the ISBN-10 mod-11 checksum (verified 14/14), and ~93% FAIL the NPI Luhn checksum. NPI is mislabelled because its taxonomy validation is only the loose pattern ^[12]\d{9}$ (no checksum) — and checksum.rs::resolve registers isbn/aba/cusip/sedol but NOT
38	identity.commerce.isbn	identity.medical.npi	model_wrong	sharpen_rule	low	high	Same fix as idx 37. Note this sample includes '0316250945' which starts with 0 -> fails the NPI pattern ^[12]\d{9}$ outright, AND all values pass ISBN-10 checksum. Adding npi Luhn + isbn header/checksum recovery routes to isbn.
39	identity.commerce.isbn	identity.medical.npi	model_wrong	sharpen_rule	low	high	Same fix as idx 37/38 (identical values to idx 38). npi Luhn checksum guard + ISBN-10 checksum/header recovery.
40	identity.person.username	representation.text.word	model_wrong	header_corroboration	med	med	Values are single-token mixed-case handles (KBjornOleary, ehn, abasmayorr, davisonio, analystabhishek), header 'username'. The existing apply_username_veto (mod.rs:968) only reclassifies full_name->username, never word/categorical->username, so this falls through to word. Fix (choice 0094): header t
41	representation.file.extension	representation.text.word	debatable	gold_readjudicate	na	med	Column is the constant value 'csv' repeated, header 'discriminator_type'. A single-value constant that happens to be a file-extension token is at least as defensibly word/categorical (an enum discriminator) as file.extension. Recovering it as extension would need a 'value ∈ {known extension set} -> 
42	representation.identifier.alphanumeric_id	finance.crypto.ethereum_address	model_wrong	sharpen_rule	low	high	Value 'hipc_ctf_24725414_7' (raw_sense=plain_text) — composed=ethereum_address is absurd; ethereum_address has a STRICT taxonomy pattern ^0x[a-fA-F0-9]{40}$ (definitions_finance.yaml:653) the value fails completely (no 0x, ~19 chars, underscores). The assertion is bypassing its own validation (some 
43	representation.identifier.alphanumeric_id	geography.address.full_address	model_wrong	sharpen_rule	low	high	Values are CUDNN benchmark IDs (ACTIVATION_FWD8731790411514196767<CUDNN_ACTIVATION_CLIPPED_RELU>, CONV_FWD_..., ADD_TENSOR...) — clearly identifiers, not addresses. raw_sense itself said full_address and nothing vetoed it because full_address validation is only minLength:10/maxLength:500 (definition
44	representation.identifier.alphanumeric_id	geography.address.full_address	model_wrong	sharpen_rule	low	high	Same fix as idx 43 (identical CUDNN benchmark-ID values, different sha). full_address whitespace+structure guard demotes the no-space '<...>' identifier strings to alphanumeric_id.
45	representation.identifier.alphanumeric_id	geography.coordinate.geohash	values_missing	sharpen_rule	na	low	No values on disk. composed=geohash is ALREADY inside the schema_fail_demotion scope (Rule 32, value_sharpen.rs:413): if values were present and failed the base32 geohash validator >50% it would self-demote to alphanumeric_id (high-card) / word (low-card). No fix needed beyond confirming values fail
46	representation.identifier.alphanumeric_id	geography.location.city	debatable	gold_readjudicate	na	med	Values are camelCase property-KEY names (MessageId, __locale, HeaderHeight, FooterHeight) with NO digits and repeats (__locale, Locale appear twice). They fail alphanumeric_id's OWN definition ('requires a letter AND a digit', defs_representation.yaml:1162) and are low-cardinality repeating -> the h
47	representation.identifier.alphanumeric_id	identity.academic.orcid	model_wrong	sharpen_rule	low	high	hipc_gene_28549970_7 is letter+digit+underscore -> genuine alphanumeric_id, gold RIGHT. ORCID has a STRICT 19-char checksum validator (^\d{4}-\d{4}-\d{4}-\d{3}[\dX]$); this value fails it 100%. ORCID is NOT audited-safe so the validation veto only flags (advisory), leaving composed=orcid. FIX: add '
48	representation.identifier.alphanumeric_id	identity.academic.orcid	values_missing	sharpen_rule	na	low	No values on disk; header 'ttxid' (transaction id) makes alphanumeric_id plausible. Same orcid over-emit cluster as idx47 — the proposed schema_fail_demotion(orcid) extension would demote IF values fail the orcid checksum (almost certain for a txid). Cannot verify without values.
49	representation.identifier.alphanumeric_id	representation.text.entity_name	debatable	gold_readjudicate	na	med	Values are 6-letter ALL-CAPS species codes (ANTPAL, CHOMEX, EPTFUS) with NO digits -> fail alphanumeric_id's letter+digit definition. They are a closed-ish set of fixed-width codes -> representation.text.word/categorical is the honest type. Re-adjudicate gold. composed=entity_name is also wrong but 
50	representation.identifier.alphanumeric_id	representation.text.plain_text	model_wrong	sharpen_rule	med	med	hipc_ctf_27764254_2 is a single token (no whitespace), letter+digit+underscore -> genuine alphanumeric_id, gold RIGHT. plain_text is NOT audited-safe (no veto) and structured_string_refinement only recovers windows_path/message_id/qualified_name (none match). FIX: a plain_text->alphanumeric_id demot
51	representation.identifier.alphanumeric_id	representation.text.plain_text	debatable	gold_readjudicate	na	med	Values are dotted Odoo external-ids (base.group_hr_user, base.group_user) — NO digits, low cardinality, repeating. Fail alphanumeric_id's letter+digit definition. Dotted reverse-DNS-ish -> the honest type is technology.code.qualified_name (which structured_string_refinement already recovers from pla
52	representation.identifier.alphanumeric_id	representation.text.plain_text	debatable	gold_readjudicate	na	med	Same as idx51: stock.group_stock_user / mrp.group_mrp_manager — dotted module.permission ids, NO digits, repeating. Fails alphanumeric_id definition -> qualified_name or word. Re-adjudicate gold.
53	representation.identifier.alphanumeric_id	representation.text.plain_text	debatable	gold_readjudicate	na	med	Same as idx51/52: base.group_portal / base.group_public — 2-distinct repeating dotted ids, NO digits. Strongly categorical/word (2 distinct) and definitely not alphanumeric_id (no digit). Re-adjudicate gold to word/categorical.
54	representation.identifier.alphanumeric_id	technology.cloud.aws_arn	model_wrong	sharpen_rule	low	high	ACTIVATION_FWD3219...<CUDNN_ACTIVATION_RELU> are CUDNN benchmark op-names: letter+digit, high-cardinality (all distinct) -> genuine alphanumeric_id, gold RIGHT. aws_arn has a STRICT prefix validator (^arn:(aws|aws-cn|aws-us-gov):...); these fail it 100%, but aws_arn is NOT audited-safe so no veto fi
55	representation.identifier.alphanumeric_id	technology.cryptographic.token_urlsafe	model_wrong	sharpen_rule	med	med	vgg0_relu0_fwd/vgg0_relu1_fwd are sequential layer names (shared prefix 'vgg0_relu', one differing digit) -> alphanumeric_id, gold RIGHT. schema_fail_demotion CANNOT catch this: token_urlsafe's validator is ^[A-Za-z0-9_-]{12,128}$ which vgg0_relu0_fwd (13 chars, all in set) PASSES — a 'confirms 90% 
56	representation.identifier.alphanumeric_id	technology.internet.url	model_wrong	veto_misfire_fix	low	med	msg32812262/msg32929450 are bare message ids (letter+digit, no scheme) -> alphanumeric_id, gold RIGHT. composed=url comes from the 'link_id'->url header hint. The values_are_clearly_non_url guard (header_sharpen.rs:174) was built for EXACTLY this value (its doc-comment cites 'msg32812262') but needs
57	representation.identifier.alphanumeric_id	unknown	debatable	veto_misfire_fix	med	med	69732-1/442514-1 are digit-DASH-digit IPNI ids — NO letters. The model said alphanumeric_id, but alphanumeric_id's validator REQUIRES a letter+digit so these fail it; alphanumeric_id IS audited-safe -> HARD veto -> unknown; veto_shape_fallback's id-shape branch needs >=60% letter+digit mix -> no let
58	representation.identifier.alphanumeric_id	unknown	model_wrong	veto_misfire_fix	low	med	CONV_FWD_16909...<CUDNN_...> are CUDNN benchmark names: letter+digit, all distinct -> alphanumeric_id, gold RIGHT. composed=unknown means an audited-safe label hard-vetoed (the values contain '<' '>' outside alphanumeric_id's allowed char-class [A-Za-z0-9 /_.#-], so even alphanumeric_id fails its ow
59	representation.identifier.alphanumeric_id	unknown	model_wrong	veto_misfire_fix	low	med	Identical to idx58 (same BenchmarkName CUDNN values, different shard): genuine alphanumeric_id collapsed to unknown by hard-veto + failed veto_shape_fallback recovery. Same fix — make veto_shape_fallback recover alphanumeric_id on high-cardinality mixed letter+digit tokens regardless of out-of-chars
60	representation.identifier.alphanumeric_id	unknown (blank)	debatable	sharpen_rule	med	low	Value `772207-1` is digits+dash, NO letter -> fails the alphanumeric_id validator (`labels/definitions_representation.yaml` pattern REQUIRES one [A-Za-z] AND one [0-9]); alphanumeric_id is veto-safe so it hard-vetoes to unknown via veto_shape_fallback (validation_veto.rs:121, id-branch needs >=60% l
61	representation.identifier.alphanumeric_id	unknown (file) / identity.commerce.isbn (repro)	debatable	sharpen_rule	med	low	Values `15_77227420` etc = `<int>_<int>` composite keys, no letter. Model emits low-conf isbn (0.33-0.40) which is wrong (underscore+wrong-length fails the isbn pattern and checksum). isbn is NOT in labels/veto_safe.txt so the profile.rs validation veto never hard-rejects it; the checksum_substance_
62	representation.identifier.alphanumeric_id	unknown (blank)	values_missing	model_blind	na	low	No values on disk in the error file (values column empty) and raw_sense blank. Cannot build or verify a value-based rule. FBI NIBRS codes (13A/240/09A) are mostly letter+digit so gold=alphanumeric_id is plausible, but unverifiable. Needs the source column values before any lever applies.
63	representation.numeric.decimal_number	(blank/unknown)	model_wrong	veto_misfire_fix	low	med	header is a bare number (headerless CSV), values are small decimals 1-4 (NOT coordinates by magnitude). raw_sense=latitude. The shipped coord_header_veto (mod.rs:1614) ALREADY demotes non-corroborated lat/long on generic-decimal columns to decimal_number, AND DIRECT REPRO of these 8 values yields de
64	representation.numeric.decimal_number	(blank/unknown)	model_wrong	veto_misfire_fix	low	med	Same class as idx 63: bare-number header, decimal values in longitude RANGE (114-153) but no header coordinate signal. raw_sense=longitude. coord_header_veto already targets decimal_number for non-corroborated coordinates; DIRECT REPRO of these values gives decimal_number with and without header hin
65	representation.numeric.decimal_number	(blank/unknown)	model_wrong	veto_misfire_fix	low	med	Identical to idx 64 (longitude-range decimals 92-149, bare-number header). coord_header_veto -> decimal_number; repro confirms decimal_number. Backstop = numeric residual fallback (idx 72). No new rule needed if repro reflects production.
66	representation.numeric.decimal_number	(blank/unknown)	model_wrong	veto_misfire_fix	low	med	Identical to idx 64-65 (longitude-range decimals 135-153, bare-number header). coord_header_veto + numeric residual fallback cover it; repro returns decimal_number.
67	representation.numeric.decimal_number	(blank/unknown)	model_wrong	veto_misfire_fix	low	med	Identical to idx 64-66 (longitude-range decimals 114-169, bare-number header). Same coord_header_veto / numeric-fallback coverage; repro returns decimal_number.
68	representation.numeric.decimal_number	datetime.offset.utc	model_wrong	sharpen_rule	low	high	Add `datetime.offset.utc` to CORROBORATION_SCOPE (mod.rs:1736). Values are ms UTC offsets as floats (-18000000.0 = -5h) that fail the utc validator `^UTC [+-]\d{2}:\d{2}$` ~100%; the `utc_offset` header hint promotes to datetime.offset.utc via header_hint_cross_domain, and sample_contradicts_label (
69	representation.numeric.decimal_number	datetime.offset.utc	model_wrong	sharpen_rule	low	high	Same fix as idx 68: add datetime.offset.utc to CORROBORATION_SCOPE so sample_contradicts_label gates the utc_offset header-hint promotion. ms-offset floats fail the utc string validator -> promotion declined -> decimal_number.
70	representation.numeric.decimal_number	datetime.offset.utc	model_wrong	sharpen_rule	low	high	Same fix as idx 68 (values all 28800000.0 = +8h ms offset). Add datetime.offset.utc to CORROBORATION_SCOPE.
71	representation.numeric.decimal_number	datetime.offset.utc	model_wrong	sharpen_rule	low	high	Same fix as idx 68. Add datetime.offset.utc to CORROBORATION_SCOPE; ms-offset floats fail the utc string validator.
72	representation.numeric.decimal_number	unknown	model_wrong	sharpen_rule	low	high	Add a NUMERIC residual branch to veto_shape_fallback (validation_veto.rs ~line 156, before the final None): when >=90% of non-empty values parse as f64 AND are not leading-zero zero-padded codes -> return representation.numeric.decimal_number (integer_number if all integral). Here `Parent`=year (vet
73	representation.numeric.decimal_number	unknown	model_wrong	sharpen_rule	low	high	Same fix as idx 72 (values 199548.0 etc, 6-digit floats far out of year range -> year hard-veto -> unknown). The numeric residual branch in veto_shape_fallback returns decimal_number=gold.
74	representation.numeric.decimal_number	unknown	values_missing	sharpen_rule	low	low	No values on disk (values column empty). column=`mag` (magnitude) + gold decimal_number + composed unknown strongly fits the same numeric-residual-fallback family as idx 72-73 (a numeric column hard-vetoed to unknown), but cannot confirm without source values. If recovered and numeric, the veto_shap
75	representation.numeric.integer_number	datetime.epoch.unix_seconds (live 0.6.37; error-file 'blank' is stale)	debatable	sharpen_rule	med	low	Epoch over-emission veto (new guard in apply_post_sharpen_guards). Model emits unix_seconds on a CONSTANT 10-digit 3187480517 (~2070). No existing rule demotes a model-predicted epoch: detect_epoch_seconds only PROMOTES. Add demotion: when label is datetime.epoch.*/timestamp.epoch_* AND (n_unique==1
76	representation.numeric.integer_number	datetime.timestamp.epoch_nanoseconds (live)	model_wrong	sharpen_rule	low	high	Unit-aware epoch plausibility range veto. Live engine emits epoch_nanoseconds on 498176 (=0.0005s after epoch, impossible). Add range bands: unix_seconds in ~[3e8,4.1e9], unix_milliseconds ~[3e11,4.1e12], epoch_nanoseconds ~[3e17,4.1e18]; when label is datetime.epoch.*/timestamp.epoch_* and <50% of 
77	representation.numeric.integer_number	datetime.epoch.unix_seconds (live)	debatable	sharpen_rule	med	low	Same epoch veto as idx 75. Constant 3110054519 (~2068). Demote epoch label to integer_number on n_unique==1.
78	representation.numeric.integer_number	representation.numeric.integer_number (live, CORRECT)	model_wrong	veto_misfire_fix	na	high	ALREADY RESOLVED in live 0.6.37: postal_header_veto demotes 4-digit AU-postcode-shaped values (3127/3293/...) under a non-postal header to integer_number, matching gold. The error-file 'blank' is a stale/harness artifact (its raw_sense was already integer_number). No engine action.
79	representation.numeric.integer_number	datetime.component.year (live, numeric_year_detection)	debatable	header_corroboration	med	med	numeric_year_detection (disambiguate_numeric) promotes ANY >=80%-4-digit / >=80%-in-[1900,2100] column to year with NO header or cardinality gate -> fires on constant 1997 under meaningless __index_level_12__ header. Add negative-evidence demotion: label==datetime.component.year AND header matches i
80	representation.numeric.integer_number	datetime.component.year (live)	debatable	header_corroboration	med	med	Same numeric_year_detection over-emission; __index_level_32__ matches the index/counter regex -> demote year->integer. Extra signal: 2048 is a future year, more likely an integer.
81	representation.numeric.integer_number	datetime.component.year (live)	model_wrong	header_corroboration	low	high	Cleanest win in the year group. Header 'conversation_no' is a counter (_no suffix) so gold=integer is right. Demote datetime.component.year -> integer_number on counter/index header regex (_no$/_num/number/_id$/_idx). Narrow negative-evidence gate; do NOT take the inverse (requiring a year-ish heade
82	representation.numeric.integer_number	finance.banking.aba_routing (live, multi-branch; guard did NOT fire)	model_wrong	sharpen_rule	low	high	Tighten checksum_substance_guard KEEP threshold. aba_routing carries `checksum: aba` and the guard runs, but its 50% keep-rule (valid*2>=len) is met: 2 of the 4 financial amounts (116088000, 114815000) coincidentally pass the weak ABA mod-10 checksum (~10% random pass). With 8+ values the guard alre
83	representation.numeric.integer_number	geography.address.postal_code (live, numeric_postal_code_detection)	gold_mislabeled	gold_readjudicate	na	med	Header 'zip' + 4-digit 1219 (= 01219 with a stripped leading zero) is textbook geography.address.postal_code; live engine is correct. Gold=integer is a label_d heuristic at header tier, mis-filed in the D_year_vs_integer family. Re-adjudicate gold to postal_code. NO engine change - a postal->integer
84	representation.numeric.integer_number	identity.medical.npi (live, multi-branch; no guard)	model_wrong	sharpen_rule	low	high	Enroll NPI in the checksum guard. NPI is NOT in finetype_core::checksum::resolve and identity.medical.npi has no `checksum:` directive, so npi over-emission is wholly unchecked. Add npi() = Luhn over ('80840' + 10 digits), register in resolve(), add `checksum: npi` to the taxonomy def. All 4 longTer
85	representation.numeric.integer_number	identity.medical.npi (live)	model_wrong	sharpen_rule	low	high	Same NPI-checksum enrollment. TEAM_ID 1610612763 (NBA team id) fails NPI Luhn -> demoted to integer_number. Gold is author-adjudicated (HIGH trust) = integer, so model is definitively wrong.
86	representation.numeric.integer_number	identity.medical.npi (live)	model_wrong	sharpen_rule	med	med	NPI enrollment ALONE will not fix this: TEAM_ID 1610612750 coincidentally PASSES NPI Luhn (~10% random), and the column is constant so it stays npi. Add a cardinality backstop to checksum_substance_guard: a self-validating-identifier label (npi/isbn/aba/cusip/sedol) on a column with n_unique==1 is n
87	representation.numeric.integer_number	representation.boolean.binary (live, boolean_subtype_binary)	gold_mislabeled	gold_readjudicate	na	med	Values are 0/1 presence/absence under a species-name header (Platystomas sellatus) = canonical representation.boolean.binary; live engine is defensibly correct. Re-adjudicate gold (lens-consensus/contested) toward boolean. NO demotion rule: a 0/1 -> integer veto would destroy genuine boolean detecti
88	representation.numeric.integer_number	representation.boolean.binary (live)	debatable	gold_readjudicate	na	low	0/1 under header 'Comments' (hints a count) but every SAMPLED value is in {0,1}, so binary_vocab_veto cannot fire (it needs a value outside {0,1}). Genuinely ambiguous count-vs-boolean; both gold=integer and model=boolean defensible. Re-adjudicate or accept as model_blind. No safe value rule from th
89	representation.numeric.integer_number	representation.boolean.binary (live)	debatable	gold_readjudicate	na	low	Same as idx 88: 0/1 under header 'noc' (number-of-children?). All sampled values in {0,1} so binary_vocab_veto can't see a count. Both labels defensible; re-adjudicate or model_blind. No safe demotion rule.
