source,source_file,column_name,sample_values,blind_label,blind_confidence,finetype_label,finetype_confidence,agreement,final_label,reasoning,ground_truth_label,ground_truth_source
sherlock,,,"["""", """", """", """", """", ""Wounded"", """", ""Dead"", """", """"]",representation.discrete.categorical,medium,representation.boolean.initials,0.8000,no,representation.discrete.categorical,"Blind correct: Wounded/Dead are status values, not boolean initials. FT confused sparse data.",notes,sherlock
sherlock,,,"[""Savoy 60th Anniversary - Timeless"", ""The Jazz Skyline"", ""The Jazz Skyline"", ""The Jazz Skyline"", ""The Jazz Skyline"", ""The Jazz Skyline"", ""The Jazz Skyline"", ""Opus de Jazz"", ""Opus de Jazz"", ""Opus de Jazz""]",representation.text.entity_name,high,representation.text.entity_name,0.6000,yes,representation.text.entity_name,,album,sherlock
sherlock,,,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""O"", ""O"", ""O""]",representation.discrete.categorical,medium,representation.discrete.ordinal,0.5000,no,representation.discrete.categorical,"Blind correct: C/O are status codes (e.g. open/closed), not ordinal rankings.",status,sherlock
sherlock,,,"[""NY"", ""MD"", ""NJ"", ""CT"", ""WI"", ""TN"", ""GA"", ""VA"", ""VA"", ""PA""]",geography.location.region,high,geography.location.country_code,0.8750,no,geography.location.region,Both agree.,state,sherlock
sherlock,,,"[""None"", ""None"", ""1.0"", ""None"", ""2.0"", ""1.0"", ""None"", ""7.0"", ""4.0"", ""1.0""]",representation.numeric.decimal_number,medium,representation.numeric.decimal_number,0.5000,yes,representation.numeric.decimal_number,,family,sherlock
sherlock,,,"[""C"", ""P"", ""SS"", ""INF"", ""C"", ""C"", ""OF"", ""C"", ""RP"", ""INF""]",representation.discrete.categorical,high,representation.discrete.ordinal,0.1250,no,representation.discrete.categorical,"Blind correct: baseball positions (C, P, SS, INF, OF) are categorical, not ordinal. FT confused.",position,sherlock
sherlock,,,"[""Male"", ""Female"", ""Male"", ""Male"", ""Male"", ""Male"", ""Male"", ""Male"", ""Male"", ""Male""]",identity.person.gender,high,identity.person.gender,1.0000,yes,identity.person.gender,,gender,sherlock
sherlock,,,"[""Copenhagen (Denmark)"", ""Witten (Germany - North Rhine-Westphalia)""]",geography.location.city,high,geography.location.country,0.5000,no,geography.location.city,Blind correct: 'Copenhagen (Denmark)' is a city with country qualifier.,location,sherlock
sherlock,,,"[""Commission on Security and Cooperation in Europe"", ""Commission on Security and Cooperation in Europe"", ""Commission on Security and Cooperation in Europe"", ""International Republican Institute"", ""National Democratic Institute (NDI)"", ""International Foundation for Electoral Systems (IFES)"", ""Freedom House""]",representation.text.entity_name,high,representation.text.entity_name,0.5710,yes,representation.text.entity_name,,affiliation,sherlock
sherlock,,,"[""None"", ""3.0"", ""7.0"", ""None""]",representation.numeric.decimal_number,medium,representation.numeric.decimal_number,0.5000,yes,representation.numeric.decimal_number,,position,sherlock
sherlock,,,"[""1947"", ""1948"", ""1949"", ""1950"", ""1951"", ""1952"", ""1953"", ""1954"", ""1955"", ""1956*""]",datetime.component.year,high,datetime.component.year,0.8000,yes,datetime.component.year,,year,sherlock
sherlock,,,"[""1"", ""2"", ""Foreclosing Loan""]",representation.text.plain_text,low,representation.discrete.categorical,0.8000,no,representation.discrete.categorical,"Blind correct: mix of numbers and text like 'Foreclosing Loan' is categorical/status, not pure categorical. FT agrees.",position,sherlock
sherlock,,,"[""*"", ""?"", ""+"", ""{x}"", ""{x,y}"", ""{x,}""]",representation.text.word,medium,geography.location.country,0.0830,no,representation.text.word,"Blind correct: regex operators/metacharacters, not country names.",operator,sherlock
sherlock,,,"[""CALM"", ""TEP"", ""TESS"", ""SLP"", ""GES""]",representation.discrete.categorical,medium,finance.currency.currency_code,0.4000,no,representation.discrete.categorical,"Blind correct: CALM/TEP/TESS/SLP/GES are category/symbol codes, not currency codes.",symbol,sherlock
sherlock,,,"[""delete"", ""file"", ""help"", ""quit"", ""run"", ""set date"", ""set timezone"", ""All other set commands"", ""show"", ""unset""]",representation.text.plain_text,medium,container.array.whitespace_separated,0.1250,no,representation.text.plain_text,"Blind correct: CLI commands, not whitespace-separated array data.",command,sherlock
sherlock,,,"[""21 Hole Salute presented by Alpine Ski Center"", ""3rd annual Mother of the Valley"", ""Bad Monkey Open #5"", ""Round A Bout""]",representation.text.entity_name,medium,representation.text.entity_name,0.7500,yes,representation.text.entity_name,,name,sherlock
sherlock,,,"[""Category B"", ""Category A"", ""Category B"", ""Category B"", ""Category B"", ""Category B"", ""Category B"", ""Rider's total points""]",representation.discrete.categorical,high,representation.text.entity_name,1.0000,no,representation.discrete.categorical,Blind correct: 'Category A/B' labels are categorical. FT also said entity_name - categorical better.,category,sherlock
sherlock,,,"[""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""]",datetime.component.day_of_week,high,datetime.component.day_of_week,0.8500,yes,datetime.component.day_of_week,,day,sherlock
sherlock,,,"[""Brazil"", ""N/A"", ""United States"", ""United Kingdom"", ""Korea, Republic of"", ""China"", ""Paraguay"", """"]",geography.location.country,high,geography.location.country,0.5000,yes,geography.location.country,,origin,sherlock
sherlock,,,"[""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2""]",representation.numeric.integer_number,high,representation.numeric.integer_number,0.8000,yes,representation.numeric.integer_number,,plays,sherlock
sherlock,,,"[""40"", ""41"", ""40"", ""40"", ""41"", ""43"", ""40"", ""40"", ""40"", ""40""]",representation.numeric.integer_number,medium,representation.identifier.numeric_code,1.0000,no,representation.numeric.integer_number,"Blind correct: values 40-43 are integer ages, not numeric codes. FT predicted numeric_code.",age,sherlock
sherlock,,,"[""Amanda Muliawan"", ""Emily Hahn"", ""Sarah Cen""]",identity.person.full_name,high,geography.location.city,0.3330,no,identity.person.full_name,"Blind correct: Amanda Muliawan, Emily Hahn are full names, not cities.",name,sherlock
sherlock,,,"[""27.8"", ""33.0""]",representation.numeric.decimal_number,high,representation.numeric.decimal_number,1.0000,yes,representation.numeric.decimal_number,,weight,sherlock
sherlock,,,"[""Mon"", ""Tues"", ""Wed"", ""Thurs"", ""Fri"", ""Sat"", ""Sun""]",datetime.component.day_of_week,high,identity.person.last_name,0.0710,no,datetime.component.day_of_week,Blind correct: Mon/Tues/Wed are day abbreviations. FT predicted last_name with low confidence.,order,sherlock
sherlock,,,"[""17730 Minnow Way"", ""PO Box 176"", ""PO Box 893""]",geography.address.street_name,medium,representation.identifier.alphanumeric_id,0.5000,no,geography.address.full_address,"FT correct: '17730 Minnow Way', 'PO Box 176' are addresses. FT has higher confidence.",address,sherlock
sherlock,,,"[""3/6M"", ""6/12M"", ""12/18M"", ""18/24M""]",representation.text.plain_text,medium,representation.identifier.alphanumeric_id,1.0000,no,representation.text.plain_text,"Blind correct: '3/6M', '6/12M' are size range codes, not alphanumeric IDs.",age,sherlock
sherlock,,,"[""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus"", ""Belarus""]",geography.location.country,high,geography.location.region,1.0000,no,geography.location.country,,nationality,sherlock
sherlock,,,"[""Notre Dame 2, Maryland Terrapins 1"", ""Maryland Terrapins 2, Virginia 1"", ""Maryland Terrapins 2, California 1"", ""Maryland Terrapins 1, UC Irvine 0"", ""Maryland Terrapins 3, Providence College 1"", ""Maryland Terrapins 1, Virginia 0"", ""Maryland Terrapins 1, Clemson 0 (OT)"", ""Maryland Terrapins 2, Boston College 0"", ""Maryland Terrapins 2, Virginia Tech 1 (OT)"", ""Maryland Terrapins 2, NC State 1""]",representation.text.sentence,high,representation.text.entity_name,0.9000,no,representation.text.sentence,"Blind correct: game scores like 'Notre Dame 2, Maryland Terrapins 1' are sentence descriptions.",result,sherlock
sherlock,,,"[""happy"", ""Neutral"", ""Group Happy"", ""Group Neutral"", ""Bike Happy"", ""Bike Neutral"", ""Food  Happy"", ""Food Neutral"", ""Children Happy"", ""Children Neutral""]",representation.discrete.categorical,medium,geography.location.country,0.3330,no,representation.discrete.categorical,"Blind correct: sentiment categories (happy/Neutral), not countries.",state,sherlock
sherlock,,,"[""rmformat"", ""mkfs"", ""newfs"", ""utdiskadm -m"", ""utdiskadm -u"", ""utdiskadm -r"", ""utdiskadm -e"", ""utdiskadm -c"", ""fdisk"", ""fsck""]",representation.text.plain_text,medium,representation.file.excel_format,0.0770,no,representation.text.plain_text,"Blind correct: Unix command strings, not Excel formats.",command,sherlock
sherlock,,,"[""0"", ""300""]",representation.numeric.integer_number,medium,representation.boolean.binary,0.5000,no,representation.numeric.integer_number,"Blind correct: 0 and 300 are integers, not boolean.",industry,sherlock
sherlock,,,"[""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching"", ""Watching""]",representation.discrete.categorical,high,identity.person.last_name,1.0000,no,representation.discrete.categorical,FT predicted last_name but 'Watching' repeated is clearly a status/categorical value.,status,sherlock
sherlock,,,"[""Win"", ""Win"", ""Win"", ""Loss"", ""Win"", ""Win"", ""Loss""]",representation.discrete.categorical,high,identity.person.last_name,0.1430,no,representation.discrete.categorical,"Both broadly agree Win/Loss is categorical. Blind=categorical, FT=last_name - blind clearly correct.",result,sherlock
sherlock,,,"[""WMST"", ""NITR"", ""ARIZ"", ""NCMS"", ""PNA"", ""VMST"", ""SRM"", ""JAM"", ""SMMM"", ""PNA""]",representation.discrete.categorical,medium,representation.identifier.alphanumeric_id,0.6000,no,representation.discrete.categorical,"Blind correct: club abbreviation codes (WMST, NITR, ARIZ), not alphanumeric IDs per se. Categorical is better fit.",club,sherlock
sherlock,,,"["""", ""2,192,982"", ""304"", ""33.7"", ""3.2"", ""57,096"", ""23,863""]",representation.numeric.decimal_number,medium,representation.numeric.decimal_number,0.1430,yes,representation.numeric.decimal_number,,county,sherlock
sherlock,,,"[""Nathan Stanley"", ""Lyle Lovett"", ""Sturgill Simpson"", ""Old Crow Medicine Show"", ""Delbert McClinton"", ""Delbert McClinton"", ""Dick Dale"", ""Johnny Fritz"", ""X"", ""Big Al Anderson""]",identity.person.full_name,high,representation.text.entity_name,0.3500,no,identity.person.full_name,"Blind correct: musician names (Nathan Stanley, Lyle Lovett). FT predicted entity_name - full_name is more specific.",artist,sherlock
sherlock,,,"["""", ""Watersports""]",representation.discrete.categorical,low,geography.location.region,0.5000,no,representation.discrete.categorical,Blind correct: 'Watersports' is a category. FT said region with low confidence.,category,sherlock
sherlock,,,"[""Miami"", ""Eatons Hill, QLD"", ""Auckland"", ""Wellington"", ""Newtown"", ""Melbourne"", ""Chester"", ""Chester"", ""Chester"", ""Saint Austell""]",geography.location.city,high,geography.location.country,0.5000,no,geography.location.city,Both agree.,city,sherlock
sherlock,,,"[""DCM"", ""WMAC"", ""SBSC"", ""EMP"", ""DCM"", ""DCM"", ""PNA"", ""LBM"", ""ARIZ"", ""MIDA""]",representation.discrete.categorical,medium,representation.text.entity_name,0.4000,no,representation.discrete.categorical,"Blind correct: club codes (DCM, WMAC), not entity names.",club,sherlock
sherlock,,,"[""format Mass Market Paperback"", ""format Mass Market Paperback"", ""format Hardcover"", ""format Paperback"", ""format Paperback"", ""format Hardcover"", ""format Hardcover"", ""format Mass Market Paperback"", ""format Paperback"", ""format Paperback""]",representation.discrete.categorical,medium,representation.text.entity_name,0.6670,no,representation.discrete.categorical,Blind correct: book format categories. FT said entity_name.,format,sherlock
sherlock,,,"[""Owner name: TMRC, INC., MICHIGAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:CLINICAL PRACTICE ENHANCEMENT AND ANESTHESIA RESEARCH FOUNDATION;REEL/FRAME:007107/0638 Effective date: 19940523""]",representation.text.paragraph,high,container.array.whitespace_separated,0.3330,no,representation.text.paragraph,Blind correct: long legal document text. FT said whitespace_separated with low confidence.,description,sherlock
sherlock,,,"[""1E"", ""1E"", ""1E"", ""1E"", ""All"", ""RE"", ""1E"", ""1E"", ""1E"", ""1E""]",representation.discrete.categorical,medium,representation.discrete.ordinal,0.8500,no,representation.discrete.categorical,"Blind correct: edition codes (1E, RE, AE, All). FT predicted ordinal.",range,sherlock
sherlock,,,"[""1993"", ""1993"", ""1993"", ""1994"", ""1994"", ""1994"", ""1994"", ""1994"", ""1994"", ""1994""]",datetime.component.year,high,datetime.component.year,1.0000,yes,datetime.component.year,,year,sherlock
sherlock,,,"[""Methane (CH4)"", ""Carbon Monoxide (CO)"", ""Carbon Dioxide (CO2)"", ""C13/C12 in Carbon Dioxide (d13C (CO2))"", ""O18/O16 in Carbon Dioxide (d18O (CO2))"", ""Molecular Hydrogen (H2)""]",representation.text.entity_name,high,representation.text.entity_name,1.0000,yes,representation.text.entity_name,,name,sherlock
sherlock,,,"[""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular"", ""Circular""]",representation.discrete.categorical,high,geography.address.street_suffix,1.0000,no,representation.discrete.categorical,Blind correct: 'Circular' repeated is a type/category. FT predicted street_suffix.,artist,sherlock
sherlock,,,"[""Metro Baltimore\u00c2 \u00c2 \u00c2 191\u00c2 \u00c2 \u00c2 \u00c2 (45%)"", ""Metro Washington 159\u00c2 \u00c2 \u00c2 \u00c2 (38%)""]",representation.text.sentence,low,geography.address.full_address,1.0000,no,representation.text.sentence,"Blind correct: garbled text with metro area stats, not full addresses.",region,sherlock
sherlock,,,"[""AS"", ""AS"", ""AS"", ""AS"", ""AS"", ""AS"", ""AS"", ""FPAY"", ""FPAY"", ""FPAY""]",representation.discrete.categorical,medium,geography.location.country_code,0.7000,no,representation.discrete.categorical,"Blind correct: transaction type codes (AS, FPAY). FT predicted country_code.",code,sherlock
sherlock,,,"["""", ""M"", """", ""M"", """", ""M"", """", ""M"", """", ""M""]",representation.discrete.categorical,medium,identity.person.gender,0.8000,no,representation.discrete.categorical,Blind correct: M and empty could be gender but is binary/discrete. FT predicted gender.,sex,sherlock
sherlock,,,"[""somebody"", """"]",representation.text.plain_text,low,representation.boolean.initials,0.5000,no,representation.text.plain_text,Both low confidence on ambiguous data.,owner,sherlock
sherlock,,,"["""", ""Nature, Science Museums""]",representation.discrete.categorical,low,representation.boolean.initials,0.5000,no,representation.discrete.categorical,"Both low confidence. 'Nature, Science Museums' is a category.",category,sherlock
sherlock,,,"[""14,026,995"", ""5,483,968"", ""16,356,947"", ""26,710,620"", ""7,818,967"", ""0"", ""3,758,675"", ""17,124,148"", ""9,576,109"", ""11,340,776""]",finance.currency.amount_comma,high,finance.currency.amount_nodecimal,0.4500,no,finance.currency.amount_comma,Blind correct: comma-formatted large numbers are financial amounts. FT predicted amount_nodecimal.,rank,sherlock
sherlock,,,"[""FR Doc."", ""RIN""]",representation.text.word,medium,identity.person.full_name,0.5000,no,representation.text.word,"Blind correct: 'FR Doc.', 'RIN' are label/code identifiers, not full names.",type,sherlock
sherlock,,,"[""06 - 06"", ""06 - 08"", ""06 - 08"", ""06 - 08"", ""06 - 08""]",representation.text.plain_text,medium,geography.address.postal_code,1.0000,no,representation.text.plain_text,"Blind correct: '06 - 06' format codes, not postal codes.",grades,sherlock
sherlock,,,"[""320"", ""2031"", ""556"", ""23753"", ""1363""]",representation.numeric.integer_number,medium,representation.identifier.numeric_code,0.4000,no,representation.numeric.integer_number,"Blind correct: 320, 2031, 556 are ranking/count integers, not numeric codes per se.",rank,sherlock
sherlock,,,"[""Industrial Unions"", ""Transportation Unions"", ""Defense Aerospace"", ""Misc Unions"", ""Building Trade Unions"", ""Public Sector Unions"", ""Candidate Committees"", ""Construction Services"", ""Lobbyists"", ""TV/Movies/Music""]",representation.discrete.categorical,high,representation.text.entity_name,0.7270,no,representation.discrete.categorical,,industry,sherlock
sherlock,,,"["""", """", """", """", """", ""somebody"", ""somebody""]",representation.text.plain_text,low,representation.boolean.initials,0.7140,no,representation.text.plain_text,Both low confidence. 'somebody' placeholder text.,owner,sherlock
sherlock,,,"[""Jennifer Beals"", ""Cliff Curtis"", ""John Cusack"", ""Henry Darrow"", ""Jason Davis"", ""Bruce Davison"", ""Nora Dunn"", ""Joanna Going"", ""Gene Hackman"", ""Dustin Hoffman""]",identity.person.full_name,high,identity.person.full_name,0.3000,yes,identity.person.full_name,,name,sherlock
sherlock,,,"["""", ""M"", """", ""M"", """", ""M"", """", ""M"", """", ""M""]",representation.discrete.categorical,medium,identity.person.gender,0.8000,no,identity.person.gender,FT correct: M values (with many blanks) are gender codes. FT used gender_detection rule.,sex,sherlock
sherlock,,,"[""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration"", ""d\u00e9lib\u00e9ration""]",representation.text.word,high,container.array.whitespace_separated,1.0000,no,representation.text.word,Blind correct: single repeated French word 'délibération'. FT predicted whitespace_separated incorrectly.,type,sherlock
sherlock,,,"[""601 PICO BOULEVARD"", """"]",geography.address.street_name,medium,representation.boolean.initials,0.5000,no,geography.address.street_name,Blind correct: '601 PICO BOULEVARD' is a street name/address. FT predicted boolean initials.,address,sherlock
sherlock,,,"[""Broncos"", ""Cowboys"", ""Roosters"", ""Rabbitohs"", ""Storm"", ""Sharks"", ""Bulldogs"", ""Warriors"", ""Raiders"", ""Dragons""]",representation.text.entity_name,high,identity.person.last_name,0.3125,no,representation.text.entity_name,Both agree on entity_name (FT) / entity_name (blind). Agree.,team,sherlock
sherlock,,,"[""2008"", ""2009"", ""2010"", ""2011"", ""2012""]",datetime.component.year,high,datetime.component.year,1.0000,yes,datetime.component.year,,year,sherlock
sherlock,,,"[""Win"", ""Loss"", """", """", """", ""Loss"", ""Loss"", ""Win"", ""Loss"", ""Loss""]",representation.discrete.categorical,high,identity.person.last_name,0.6500,no,representation.discrete.categorical,Blind correct: Win/Loss/empty are categorical results. FT predicted last_name.,result,sherlock
sherlock,,,"[""Masters 1/2/3 40+"", ""Masters 40-49"", """"]",representation.discrete.categorical,medium,representation.text.entity_name,0.6670,no,representation.discrete.categorical,Blind correct: age group categories. FT predicted entity_name.,category,sherlock
sherlock,,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]",representation.numeric.integer_number,high,representation.identifier.numeric_code,0.3080,no,representation.numeric.integer_number,Blind correct: sequential position integers. FT predicted numeric_code.,position,sherlock
sherlock,,,"[""1.0"", ""2.0"", ""3.0"", ""None"", ""5.0"", ""6.0"", ""None"", ""8.0"", ""9.0"", ""None""]",representation.numeric.decimal_number,medium,representation.numeric.decimal_number,0.7000,yes,representation.numeric.decimal_number,,rank,sherlock
sherlock,,,"[""Virginia 6, Maryland 1"", ""Maryland 3, Pittsburgh 1"", ""Boston College 1, Maryland 0 (OT)"", ""Maryland 3, Syracuse 1"", ""Florida State 2, Maryland 1"", ""Maryland 1, Miami Hurricanes 0"", ""Duke 2, Maryland 1"", ""North Carolina 3, Maryland 1"", ""Maryland 3, NC State 0"", ""Virginia 1, Maryland 0""]",representation.text.sentence,high,representation.text.entity_name,0.8000,no,representation.text.sentence,Blind correct: game score sentences. FT said entity_name - sentence is more specific.,result,sherlock
sherlock,,,"[""El Gorrito Sector \""A\"" as marked on the overhead view of the entire crag"", ""Erotico This sector is climbable all day"", ""La Tapia"", ""La Placa Verde Nice sector with some great beginner routes.""]",representation.text.entity_name,medium,representation.text.entity_name,0.8000,yes,representation.text.entity_name,,area,sherlock
sherlock,,,"[""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports"", ""Sports""]",representation.discrete.categorical,high,geography.location.country,1.0000,no,representation.discrete.categorical,Blind correct: 'Sports' repeated category. FT predicted country.,genre,sherlock
sherlock,,,"["""", """", ""See Notes in Data Question"", """", """", """", """"]",representation.text.plain_text,low,representation.boolean.initials,0.8570,no,representation.text.plain_text,"Both agree on plain_text/initials. Blind=plain_text, FT=initials. Blank + note text - plain_text better.",notes,sherlock
sherlock,,,"[""2015"", ""2014"", ""2013"", ""2012"", ""2011""]",datetime.component.year,high,datetime.component.year,1.0000,yes,datetime.component.year,,year,sherlock
sherlock,,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]",representation.numeric.integer_number,high,representation.identifier.numeric_code,0.5500,no,representation.identifier.increment,"FT said numeric_code - actually sequential integers 1-20 could be increment. But representation.numeric.integer_number is also valid. Blind=integer_number, FT=numeric_code. Use integer_number as more accurate.",rank,sherlock
sherlock,,,"[""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues"", ""Queen of Country Blues""]",representation.text.entity_name,high,representation.text.entity_name,1.0000,yes,representation.text.entity_name,,album,sherlock
sherlock,,,"[""Alabama"", ""Oregon"", ""Clemson"", ""Florida State"", ""Ohio State"", ""LSU"", ""UCLA"", ""Louisville"", ""Miami (FL)"", ""South Carolina""]",representation.text.entity_name,high,representation.text.entity_name,0.1000,yes,representation.text.entity_name,,team,sherlock
sherlock,,,"[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]",representation.boolean.terms,high,representation.boolean.terms,0.9090,yes,representation.boolean.terms,,education,sherlock
sherlock,,,"[""Ready to Review"", ""Ready to Review"", """", ""Ready to Review"", """", """", """", """", """", """"]",representation.discrete.categorical,medium,geography.location.region,0.1000,no,representation.discrete.categorical,Blind correct: 'Ready to Review' status values. FT predicted region.,status,sherlock
sherlock,,,"[""Michael Ziegler"", ""Russell Vicchrilli"", ""Carl Williams"", ""Luis Rodriguez"", ""Jesus Osuna (5)""]",identity.person.full_name,high,identity.person.full_name,0.4000,yes,identity.person.full_name,,jockey,sherlock
sherlock,,,"[""WA"", ""NSW"", ""WA"", ""QLD"", ""NSW"", ""VIC"", ""NSW"", ""NSW"", ""NSW"", ""NSW""]",geography.location.region,high,geography.transportation.iata_code,0.5500,no,geography.location.region,Blind correct: WA/NSW/QLD/VIC/SA are Australian state codes. FT predicted iata_code incorrectly.,state,sherlock
sherlock,,,"[""COM"", ""COM"", ""COM"", ""COM"", ""CL A"", ""COM"", ""COM NEW"", ""COM"", ""COM"", ""CL B""]",representation.discrete.categorical,medium,geography.transportation.iata_code,0.5500,no,representation.discrete.categorical,"Blind correct: share class codes (COM, CL A, CL B). FT predicted iata_code.",class,sherlock
sherlock,,,"[""Urban AC"", ""Mainstream/Urban"", ""Classic Hip Hop"", ""Inspiration"", ""Mainstream/Urban"", ""Black Talk"", ""Inspiration"", ""Urban AC"", ""Praise Baltimore"", ""Inspiration""]",representation.discrete.categorical,high,representation.text.entity_name,0.3500,no,representation.discrete.categorical,Blind correct: radio station format categories. FT predicted entity_name.,format,sherlock
sherlock,,,"[""0/3M"", ""3/6M"", ""6/9M""]",representation.text.plain_text,medium,representation.identifier.alphanumeric_id,0.6670,no,representation.text.plain_text,"Blind correct: '0/3M', '3/6M' are age range codes. FT predicted alphanumeric_id.",age,sherlock
sherlock,,,"[""AU"", ""AU"", ""AU"", ""AU"", ""AU"", ""n/a"", ""n/a""]",geography.location.country_code,medium,geography.location.country_code,0.7140,yes,geography.location.country_code,,state,sherlock
sherlock,,,"[""Win"", ""Loss"", ""Loss""]",representation.discrete.categorical,high,identity.person.last_name,0.6670,no,representation.discrete.categorical,Blind correct: Win/Loss values. FT predicted last_name.,result,sherlock
sherlock,,,"["""", ""BLND"", ""DEAF"", ""WCHR"", ""WCHS"", ""WCHC"", ""WCMP"", ""WCBD"", ""Blindenhund"", """"]",representation.discrete.categorical,medium,representation.text.entity_name,0.5000,no,representation.discrete.categorical,Blind correct: same service codes as col 6. FT predicted entity_name.,service,sherlock
