id	kind	verdict	deferred	current_gold	model_pred	panel_opus	c_opus	panel_sonnet	c_sonnet	panel_haiku	c_haiku	panel_adv	agree	mean_conf	sample_values
g0104	ac-03	PROPOSE		representation.text.plain_text	representation.identifier.alphanumeric_id	alphanumeric_id	0.7	alphanumeric_id	0.88	alphanumeric_id	0.9	alphanumeric_id	3	0.83	POOLING_FWD9570965962646194981<CUDNN_POO | ACTIVATION_FWD2972221743649795636<CUDNN_ | ADD_TENSOR1834118433427873348 | ACTIVATION_FWD3700692825224730099<CUDNN_ | CONV_FWD_012713605078284829758<CUDNN_CON | ADD_TENSOR3124104522231198520 | CONV_FWD_19289154756865292993<CUDNN_CONV | ACTIVATION_FWD8307591912869336118<CUDNN_ | CONV_FWD_16263392324595654988<CUDNN_CONV | ACTIVATION_FWD11635618705632016737<CUDNN | ADD_TENSOR2445532663196731366 | CONV_FWD_416380903792648844542<CUDNN_CON | ADD_TENSOR11023668153830679612 | ACTIVATION_FWD17215024788201045314<CUDNN | ADD_TENSOR6376371572328723688 | ADD_TENSOR4426374455362538684 | CONV_FWD_22877963466974091689<CUDNN_CONV | CONV_FWD_010247046300356755671<CUDNN_CON | ACTIVATION_FWD5229742042898716061<CUDNN_ | CONV_FWD_110443831484766577551<CUDNN_CON
g0107	ac-03	PROPOSE		representation.text.plain_text	geography.address.full_address	alphanumeric_id	0.7	alphanumeric_id	0.88	alphanumeric_id	0.9	alphanumeric_id	3	0.83	CONV_FWD_49468083144363003049<CUDNN_CONV | ACTIVATION_FWD11850385587381362736<CUDNN | ACTIVATION_FWD17304104803804646124<CUDNN | CONV_FWD_43094948528741430769<CUDNN_CONV | ADD_TENSOR2645893572799547352 | POOLING_FWD9743187963333347066<CUDNN_POO | ADD_TENSOR9933737494526478144 | CONV_FWD_39232532707132936799<CUDNN_CONV | CONV_FWD_01717875631016186812<CUDNN_CONV | CONV_FWD_016924646240514992939<CUDNN_CON | ACTIVATION_FWD1573998084906966604<CUDNN_ | ADD_TENSOR4092821391806230492 | ADD_TENSOR14523496027619681363 | CONV_FWD_26120227530095794789<CUDNN_CONV | POOLING_FWD4592817317240616509<CUDNN_POO | ACTIVATION_FWD1452503474627227178<CUDNN_ | CONV_FWD_12863412519646859491<CUDNN_CONV | ADD_TENSOR18405516494411579011 | CONV_FWD_416049641769439239270<CUDNN_CON | ACTIVATION_FWD915822045856640829<CUDNN_A
g0108	ac-03	PROPOSE		representation.text.plain_text	representation.identifier.alphanumeric_id	alphanumeric_id	0.7	alphanumeric_id	0.88	alphanumeric_id	0.9	alphanumeric_id	3	0.83	CONV_FWD_113263158875914035742<CUDNN_CON | CONV_FWD_28676097769651472263<CUDNN_CONV | CONV_FWD_215024477037375371343<CUDNN_CON | ADD_TENSOR10276880299715701694 | GEMV_FWD1978698214874783447 | Total | ACTIVATION_FWD3098601073903236690<CUDNN_ | ADD_TENSOR8213638121664259161 | CONV_FWD_39721128221367368170<CUDNN_CONV | POOLING_FWD12614776895784977783<CUDNN_PO | GEMV_FWD6840713707582210859 | DROPOUT_FWD921963430543153032 | POOLING_FWD3055694612687775433<CUDNN_POO | POOLING_FWD151330512643727433<CUDNN_POOL | CONV_FWD_010711182729233396017<CUDNN_CON | ACTIVATION_FWD13491423864519241330<CUDNN | ACTIVATION_FWD10947970248581594505<CUDNN | ACTIVATION_FWD3323006981282104596<CUDNN_ | GEMV_FWD11862958995973593516 | ADD_TENSOR7534256082947234810
g0109	ac-03	PROPOSE		representation.text.plain_text	representation.identifier.alphanumeric_id	alphanumeric_id	0.7	alphanumeric_id	0.88	alphanumeric_id	0.9	alphanumeric_id	3	0.83	ADD_TENSOR11023668153830679612 | ACTIVATION_FWD17215024788201045314<CUDNN | ADD_TENSOR6376371572328723688 | ADD_TENSOR4426374455362538684 | CONV_FWD_22877963466974091689<CUDNN_CONV | CONV_FWD_010247046300356755671<CUDNN_CON | ACTIVATION_FWD5229742042898716061<CUDNN_ | CONV_FWD_110443831484766577551<CUDNN_CON | POOLING_FWD7540285098489405913<CUDNN_POO | CONV_FWD_010169059261604063318<CUDNN_CON | CONV_FWD_07983244446450416925<CUDNN_CONV | ACTIVATION_FWD8018231500763011608<CUDNN_ | CONV_FWD_39696852098053729889<CUDNN_CONV | ACTIVATION_FWD950203678692330733<CUDNN_A | POOLING_FWD11005451017383827592<CUDNN_PO | ACTIVATION_FWD6743892577385200438<CUDNN_ | CONV_FWD_311169038692955379676<CUDNN_CON | POOLING_FWD9570965962646194981<CUDNN_POO | ACTIVATION_FWD2972221743649795636<CUDNN_ | ADD_TENSOR1834118433427873348
g0137	ac-03	PROPOSE	Y	technology.internet.top_level_domain	technology.internet.top_level_domain	top_level_domain	0.9	categorical	0.85	categorical	0.9	categorical	2	0.88	ch | gov | me | co.uk | ie | int | au | com | net | uk | ca | in | co.nz | org | pl | edu
g0138	ac-03	PROPOSE	Y	technology.internet.top_level_domain	representation.alphanumeric.alphanumeric_id	top_level_domain	0.9	categorical	0.85	categorical	0.9	categorical	2	0.88	.ar | .aw | .by | .bj | .bq | .bn | .cv | .ky | .cx | .dj | .dm | .do | .ee | .gm | .ge | .gr | .hm | .ke | .lu | .mq
g0139	ac-03	PROPOSE	Y	technology.internet.top_level_domain	technology.internet.top_level_domain	top_level_domain	0.9	categorical	0.85	categorical	0.9	categorical	2	0.88	com | net | uk | ch | co.nz | org | pl | edu | ie | int | au | ca | in | gov | me | co.uk
g0140	ac-03	PROPOSE		representation.text.plain_text	representation.text.word	categorical	0.85	categorical	0.92	categorical	0.95	categorical	3	0.91	apache-2.0 | lgpl-2.1 | gpl-3.0 | other | isc | bsd-3-clause | lgpl-3.0 | bsd-2-clause | gpl-2.0 | unlicense | mit
g0142	ac-03	PROPOSE	Y	representation.numeric.integer_number	representation.numeric.integer_number	alphanumeric_id	0.55	alphanumeric_id	0.8	alphanumeric_id	0.95	alphanumeric_id	3	0.77	8441 | 51 | 220181 | 220179 | 677 | 223761 | 225664 | 837 | 220545 | 491 | 227457 | 220546 | 1162 | 226537 | 224639 | 227468 | 220274 | 789 | 224643 | 211
g0155	ac-03	PROPOSE		representation.numeric.decimal_number	representation.numeric.decimal_number	unix_seconds	0.85	unix_seconds	0.9	unix_timestamp	0.95	epoch_seconds	2	0.88	1240707249.0 | 1240706553.0 | 1240706418.0 | 1240705057.0 | 1240704226.0 | 1240707065.0 | 1240704980.0 | 1240704249.0 | 1240704103.0 | 1240706931.0 | 1240706250.0 | 1240706141.0 | 1240705771.0 | 1240707334.0 | 1240707147.0 | 1240706979.0 | 1240705705.0 | 1240705661.0 | 1240704565.0 | 1240707120.0
g0156	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	236788.0 | 236639.0 | 236641.0 | 236473.0 | 236794.0 | 236583.0 | 235489.0
g0157	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1474768.0 | 1474629.0 | 1473844.0 | 1471300.0 | 1471841.0 | 1470996.0 | 1471273.0 | 1474602.0 | 1474094.0 | 1472401.0 | 1466520.0 | 1472444.0 | 1471771.0 | 1474455.0 | 1474668.0 | 1474239.0 | 1474395.0 | 1473770.0 | 1474262.0 | 1473316.0
g0158	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	363789.0 | 363987.0 | 363968.0 | 363923.0 | 363408.0 | 363888.0 | 363751.0 | 363652.0 | 364004.0 | 363768.0 | 363979.0 | 364009.0 | 363470.0 | 363778.0 | 363624.0 | 364034.0 | 364010.0 | 363913.0 | 363937.0 | 364039.0
g0159	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	150162.0 | 150660.0 | 150643.0 | 150318.0 | 150412.0 | 150697.0 | 150618.0 | 150578.0 | 150699.0 | 150587.0 | 150390.0 | 150689.0 | 150635.0 | 150679.0 | 150530.0 | 150675.0 | 150555.0 | 150672.0 | 150670.0 | 150626.0
g0160	ac-03	PROPOSE		representation.numeric.decimal_number	representation.numeric.decimal_number	unix_seconds	0.85	unix_seconds	0.9	unix_timestamp	0.95	epoch_seconds	2	0.88	1285437125.0 | 1285436919.0 | 1285436504.0 | 1285436233.0 | 1285436209.0 | 1285436070.0 | 1285435868.0 | 1285435768.0 | 1285435179.0 | 1285434994.0 | 1285434426.0 | 1285434365.0 | 1285434255.0 | 1285437580.0 | 1285437490.0 | 1285437386.0 | 1285437281.0 | 1285436871.0 | 1285436641.0 | 1285436324.0
g0161	ac-03	PROPOSE		representation.numeric.decimal_number	representation.numeric.decimal_number	unix_seconds	0.85	unix_seconds	0.9	unix_timestamp	0.95	epoch_seconds	2	0.88	1177678129.0 | 1177676020.0 | 1177678451.0 | 1177676187.0 | 1177677999.0 | 1177676334.0 | 1177678175.0 | 1177678595.0 | 1177678537.0 | 1177677769.0
g0162	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	1553842.0 | 1553459.0 | 1553506.0 | 1553291.0 | 1553798.0 | 1553407.0 | 1552067.0 | 1552263.0 | 1552589.0 | 1553862.0 | 1553166.0 | 1553430.0 | 1553701.0 | 1540997.0 | 1552723.0 | 1550713.0 | 1553743.0 | 1553416.0 | 1553779.0 | 1553824.0
g0164	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	4492025.0 | 4491022.0 | 4491789.0 | 4492370.0 | 4491408.0 | 4492619.0 | 4492244.0 | 4489211.0 | 4491216.0 | 4492687.0 | 4491850.0 | 4491766.0 | 4492208.0 | 4490157.0 | 4492112.0 | 4492532.0 | 4492875.0 | 4488682.0 | 4489364.0 | 4492287.0
g0165	ac-03	PROPOSE	Y	representation.numeric.decimal_number	representation.numeric.decimal_number	alphanumeric_id	0.5	alphanumeric_id	0.8	alphanumeric_id	0.9	alphanumeric_id	3	0.73	2610846.0 | 2609180.0 | 2610709.0 | 2609950.0 | 2610734.0 | 2610940.0 | 2610958.0 | 2610328.0 | 2610827.0 | 2610532.0 | 2610914.0 | 2608317.0 | 2610417.0 | 2610145.0 | 2610109.0 | 2609962.0 | 2610952.0 | 2610725.0 | 2610856.0 | 2604013.0
g0168	ac-03	PROPOSE		representation.text.plain_text	representation.text.entity_name	plain_text	0.75	entity_name	0.85	entity_name	0.9	entity_name	2	0.88	Adobe AIR Vs Microsoft Silverlight: It’s | Building a green PC | Bedework: open source calendar for the e | Paid Links - The Steroids of SEO | dotfiles.org | community for sharing dot | Network Solutions Sued For Defrauding Mi | The art of Flash  (wait 4 seconds after  | Thoughts on Startups | Working on a social network? Read this. | The Paradox of Choice: The Advantages of | IBM brings out new a MainFrame.. Power o | Functional Pattern Matching in JavaScrip
g0169	ac-03	PROPOSE		representation.text.plain_text	representation.text.plain_text	categorical	0.5	categorical	0.8	categorical	0.95	categorical	3	0.75	Username | Login | Charlie Shen | Password | Browser
g0170	ac-03	PROPOSE		representation.text.plain_text	representation.text.word	categorical	0.75	categorical	0.9	categorical	0.95	categorical	3	0.87	relu_1 | maxpool_2 | relu_6 | relu_7 | maxpool_1 | softmax_1 | conv_1 | relu_5 | gemm_2 | conv_2 | conv_4 | conv_3 | relu_3 | relu_4 | maxpool_3 | relu_2 | conv_5 | gemm_1 | gemm_3
g0171	ac-03	PROPOSE		representation.text.plain_text	representation.text.plain_text	categorical	0.65	categorical	0.88	categorical	0.95	categorical	3	0.83	purchase.requisition.line | purchase.requisition manager | purchase.requisition | purchase.requisition.line manager
g0214	ac-03	PROPOSE		representation.text.plain_text	geography.location.city	entity_name	0.85	entity_name	0.95	entity_name	0.95	entity_name	3	0.92	Goroka Airport | Reykjavik Airport | Vestmannaeyjar Airport | Baker Lake Airport | Princeton Airport | Deer Lake Airport | Estevan Airport | Dryden Regional Airport | Meadow Lake Airport | Kenora Airport | Rivière-du-Loup Airport | Nanisivik Airport | Summerside Airport | Timmins/Victor M. Power | Vermilion Airport | Buffalo Narrows Airport | Petawawa Airport | Williams Lake Airport | Pangnirtung Airport | Earlton (Timiskaming Regional) Airport
g0219	ac-03	PROPOSE		representation.text.plain_text	container.array.comma_separated	entity_name	0.7	entity_name	0.9	entity_name	0.9	entity_name	3	0.83	Elevator Operator | Agnes Martin : her life and art / Nancy  | Cloud nine / by Caryl Churchill. | Latin Dance Mix | Who stole Halloween? / Martha Freeman. | Disgraced : a play / Ayad Akhtar. | Make Your Kid a Money Genius (Even If Yo | Rarity and the Curious Case of Charity | Arata, the legend. 3 / story & art by Yu | The Wayside Motor Inn / by A. R. Gurney. | Le démantèlement [videorecording] = The  | Applesauce season / Eden Ross Lipson ; i | Brain maker : [the power of gut microbes | A devil and her love song. Volume 1 / st | Home by nightfall [sound recording] / Ch | The Metamorphosis (Unabridged) | Murder at the Pentagon / Margaret Truman | Girl Talk: 52 Weekly Devotions | Improving Your Memory | You & I
g0224	ac-03	PROPOSE	Y	representation.numeric.integer_number	representation.discrete.categorical	alphanumeric_id	0.6	alphanumeric_id	0.9	alphanumeric_id	0.95	alphanumeric_id	3	0.82	123734717 | 322011265 | 421600921 | 321195755 | 420659638 | 220553069 | 340739623 | 421672755 | 121329204 | 420065734 | 200998279 | 320625249 | 421266267 | 121208987 | 440655792 | 322060130 | 421949235 | 320730517 | 320846974 | 121207906
g0238	ac-03	PROPOSE		representation.text.plain_text	representation.text.entity_name	entity_name	0.85	entity_name	0.95	entity_name	0.95	entity_name	3	0.92	Delta Shores Airport | Livingston Healthcare Heliport | North Raleigh Airport | McKenzie Bridge State Airport | Flying O Airport | Alpine Range Airport | Lazy J. Aerodrome | Yat Heliport | Berlin Fairgrounds Heliport | Rybolt Ranch Airport | Myers Field | Caldwell Municipal Airport | Flying N Ranch Airport | Country Breeze Airport | McGee 01 Heliport | Avita Health System Galion Hospital Heli | Garner Field | Benes Service Airport | Iroquois Landing Seaplane Base | Penske Heliport
g0254	ac-03	PROPOSE	Y	technology.internet.top_level_domain	representation.discrete.categorical	top_level_domain	0.9	categorical	0.85	categorical	0.9	categorical	2	0.88	me | gov | watch | nz | microsoft | mil | ai | hk | la | now | tw | cern | do | im | bs | pa | ls | iq | pn | ao
g0255	ac-03	PROPOSE	Y	technology.internet.top_level_domain	representation.discrete.categorical	top_level_domain	0.85	categorical	0.85	categorical	0.9	categorical	2	0.88	me | gov | watch | nz | microsoft | mil | ai | hk | la | now | tw | cern | do | im | bs | pa | ls | iq | pn | ao
g0026	ac-03	CONTESTED		representation.text.plain_text	representation.discrete.categorical	plain_text	0.55	filepath	0.9	alphanumeric_id	0.9	file_path	1	0.55	d:\Develop\AutoChess-Simulator\README.md | d:\Develop\AutoChess-Simulator\build\web | d:\Develop\AutoChess-Simulator\build\web | d:\Develop\AutoChess-Simulator\package-l | d:\Develop\AutoChess-Simulator\src\pages | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va | d:\Develop\AutoChess-Simulator\static\va
g0042	ac-03	CONTESTED		representation.numeric.integer_number	representation.numeric.integer_number	integer_number	0.5	year	0.7	categorical	0.8	year	1	0.5	0 | 2006 | 2008 | 2010
g0055	ac-03	CONTESTED		representation.numeric.integer_number	representation.numeric.integer_number	amount	0.55	integer_number	0.8	categorical	0.85	monetary_amount	1	0.55	0 | 1950 | 2925 | 975
g0081	ac-03	CONTESTED		datetime.date.iso	datetime.date.iso	iso	0.95	calendar_date	0.99	date	0.95	iso_date	1	0.95	2013-03-15 | 2013-06-01 | 2013-04-20 | 2013-02-01
g0082	ac-03	CONTESTED		datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2014-04-30 14:38:28 | 2019-05-23 20:12:22 | 2019-08-02 22:37:25 | 2020-05-21 06:44:14 | 2020-09-14 06:01:21 | 2021-02-13 17:56:56 | 2018-09-07 21:36:06 | 2014-11-24 17:11:12 | 2017-11-20 19:50:46 | 2017-12-26 10:20:38 | 2018-11-18 17:11:47 | 2013-12-26 13:05:46 | 2014-05-01 17:45:34 | 2012-06-13 04:18:26 | 2018-08-09 10:57:23 | 2017-04-05 17:09:53 | 2019-09-06 18:00:31 | 2018-02-14 04:26:27 | 2014-11-22 03:13:10 | 2018-02-05 15:05:54
g0083	ac-03	CONTESTED		datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2001-06-05 20:35:20 | 2002-02-05 07:19:10 | 2002-02-22 03:56:11 | 2001-05-24 04:35:41 | 2001-11-15 20:14:35 | 2001-10-11 22:52:49 | 2002-03-04 15:27:59 | 2002-02-28 20:58:54 | 2002-02-05 07:28:13 | 2002-02-06 06:00:02 | 2002-01-10 13:24:51 | 2002-01-29 15:03:22 | 2001-11-15 18:10:14 | 2002-03-22 18:11:02 | 2002-01-29 02:18:19 | 2002-01-29 04:02:54 | 2001-05-28 18:58:58 | 2001-10-11 17:21:05 | 2001-03-05 10:31:00 | 2001-10-26 05:21:59
g0084	ac-03	CONTESTED		datetime.date.iso	datetime.timestamp.sql_standard	sql_standard	0.9	datetime	0.99	timestamp	0.95	iso_datetime	1	0.9	2001-10-01 07:46:01 | 2002-01-09 08:26:27 | 2001-10-29 06:22:07 | 2001-10-25 06:11:56 | 2001-10-23 16:38:07 | 2001-10-17 14:15:05 | 2001-10-29 16:35:12 | 2001-07-23 14:46:41 | 2001-09-04 10:38:42 | 2001-10-01 06:50:56 | 2002-01-07 15:40:13 | 2002-01-24 10:55:56 | 2002-01-24 04:59:08 | 2002-01-22 15:40:25 | 2002-02-26 07:07:57 | 2001-08-17 09:05:03 | 2001-06-13 06:21:23 | 2001-12-11 10:42:41 | 2001-10-17 13:27:01 | 2001-08-24 06:55:36
